run_number,batch,seed,dataset,n_classes,n_features,n_train,n_test,rf_accuracy,rf_precision,rf_recall,rf_f1,gnn_accuracy,gnn_precision,gnn_recall,gnn_f1,fulp_accuracy,fulp_precision,fulp_recall,fulp_f1,avg_confidence,avg_contradiction,avg_symposium_size,avg_contradiction_passes,avg_exploration_rate,avg_role_diversity,role_entropy,dirichlet_concentration,belief_divergence,acc_vs_rf,acc_vs_gnn,f1_vs_rf,f1_vs_gnn
11,2,53,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.734,0.7520834356057685,0.723042334554978,0.7122394310400121,0.864,0.876097688875847,0.8624236038634948,0.864928828064721,0.5297981989341505,0.1817776899233764,4.704,2.044,0.05448737434338586,0.11111111111111113,,,,-0.136,0.13,-0.13507117193527896,0.15268939702470896
12,2,54,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.8,0.8132198417357346,0.8001172978717889,0.8001504927347396,0.972,0.9720548862115127,0.9720185170783973,0.9719959480438524,0.6889292467218214,0.22726778319022267,2.992,1.532,0.0554369577073727,0.11111111111111113,,,,-0.028000000000000025,0.17199999999999993,-0.028004051956147635,0.17184545530911277
13,2,55,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.796,0.8311366547562867,0.7839657495092388,0.7729846961577155,0.988,0.9890710382513661,0.9876017196376479,0.9881870504534982,0.71662679106429,0.2465879977138947,3.144,1.546,0.05491321171918186,0.11111111111111115,,,,-0.01200000000000001,0.19199999999999995,-0.011812949546501805,0.21520235429578272
14,2,56,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.782,0.8080122570597222,0.7802543867418752,0.7665744803104002,0.43,0.42187524935301846,0.42929163309144774,0.42117468261174573,0.45902422863284553,0.16400805930853057,4.776,1.956,0.05427746390458255,0.11111111111111113,,,,-0.5700000000000001,-0.35200000000000004,-0.5788253173882543,-0.3453997976986545
15,2,57,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.836,0.8610864743192206,0.8375030467408947,0.8321613363664748,0.718,0.7199500928782697,0.7183393202152052,0.7179765084401847,0.4809885855570822,0.16567194333230806,4.704,2.076,0.05481524144735088,0.11111111111111113,,,,-0.28200000000000003,-0.118,-0.2820234915598153,-0.11418482792629014
16,2,58,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.82,0.8414372318947372,0.8141504329004329,0.8100738059582931,0.984,0.9845728553593722,0.983575036075036,0.9839041329270665,0.6550335554362386,0.2681303031788097,4.864,1.966,0.05494982491117758,0.11111111111111115,,,,-0.016000000000000014,0.16400000000000003,-0.016095867072933534,0.17383032696877332
17,2,59,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.808,0.8324678475251015,0.801233108534768,0.7978806247916056,0.71,0.724057011172965,0.706040911173896,0.7026563860509055,0.4991174152387142,0.18869830511466007,4.8,2.02,0.054887589343729684,0.11111111111111115,,,,-0.29000000000000004,-0.09800000000000009,-0.2973436139490945,-0.09522423874070007
18,2,60,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.818,0.8463739836890324,0.816535543631352,0.8085609792506343,0.98,0.9801812668178016,0.9799422799422799,0.9799384459248178,0.6920705615341176,0.23003573838555288,2.976,1.508,0.05402439146298796,0.11111111111111113,,,,-0.020000000000000018,0.16200000000000003,-0.020061554075182175,0.17137746667418352
19,2,61,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.82,0.8431100770869544,0.8222040668119099,0.8176613325112568,0.904,0.9039422527837727,0.9046875540339592,0.9040997591775911,0.5318309358227978,0.2041273883837892,4.832,2.028,0.05502760380422176,0.11111111111111113,,,,-0.09599999999999997,0.08400000000000007,-0.09590024082240889,0.08643842666633428
20,2,62,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.818,0.833856285735985,0.8197359161143609,0.8172304352215667,0.988,0.9879812691734786,0.9878632486020381,0.9878981222118477,0.7282125799419211,0.24543680664655984,2.84,1.482,0.054024691358024686,0.11111111111111113,,,,-0.01200000000000001,0.17000000000000004,-0.012101877788152304,0.170667686990281
21,3,63,NWU,3,3,1500,500,0.992,0.9921912624699002,0.991854773906056,0.9919798824059164,0.838,0.8491285265864305,0.8394696471619548,0.8368786549707602,0.706,0.7167860492206093,0.7074171475880878,0.7057417925825972,0.4800222916811048,0.1781015301780568,4.808,2.16,0.054143168378462496,0.11111111111111113,,,,-0.28600000000000003,-0.132,-0.2862380898233192,-0.13113686238816302
22,3,64,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.842,0.8554460848951638,0.8433572407692734,0.8409594008541172,0.886,0.889050143484572,0.8864515645720469,0.8856844974115963,0.534976854189142,0.20991071862234145,4.824,2.058,0.05469166795805568,0.11111111111111115,,,,-0.11399999999999999,0.04400000000000004,-0.11431550258840373,0.04472509655747903
23,3,65,NWU,3,3,1500,500,0.998,0.9980506822612085,0.9980039920159681,0.9980214818924497,0.782,0.8025876030060131,0.7821858268306404,0.7736287201377934,0.386,0.3758029488582861,0.38722893440833955,0.3763087980175119,0.4656950820483201,0.14709592742277358,4.8,1.962,0.054781026640675766,0.11111111111111115,,,,-0.612,-0.396,-0.6217126838749378,-0.3973199221202815
24,3,66,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.772,0.7909177849880361,0.7735694432133543,0.7698163647437727,0.978,0.9781793638675523,0.9779233226606824,0.9780105969899617,0.7187189123370761,0.2592545276622794,3.12,1.56,0.055155369205683674,0.11111111111111113,,,,-0.02200000000000002,0.20599999999999996,-0.021989403010038266,0.20819423224618905
25,3,67,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.778,0.8033653846153846,0.7651679343070606,0.7551124100144536,0.656,0.6871196239120767,0.6500755952264635,0.649994178273316,0.516980813560899,0.1824410012553494,4.568,1.966,0.054661351934894534,0.11111111111111115,,,,-0.344,-0.122,-0.35000582172668404,-0.10511823174113766
26,3,68,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.82,0.8301749107923171,0.8145921779476811,0.8154944322832397,0.874,0.8828288244198627,0.871638288051075,0.8742465948994188,0.654038263627232,0.23159093500111907,3.128,1.542,0.05486308363501346,0.11111111111111115,,,,-0.126,0.05400000000000005,-0.1257534051005812,0.058752162616179104
27,3,69,NWU,3,3,1500,500,0.998,0.998062015503876,0.9979919678714859,0.9980211333562341,0.78,0.7984561672777573,0.7795015314009599,0.7756743895015603,0.766,0.7720763932813268,0.7661892142170376,0.767257037465766,0.4903153875756311,0.16001797488576444,4.592,2.054,0.05421688800901867,0.11111111111111113,,,,-0.23199999999999998,-0.014000000000000012,-0.2307640958904681,-0.008417352035794301
28,3,70,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.766,0.804009504390376,0.7517441456465846,0.7357328240680799,0.934,0.9376621259543795,0.9312035299840179,0.9329983546985785,0.5354196289504466,0.19322206493279898,4.936,2.044,0.054724882063635454,0.11111111111111115,,,,-0.06599999999999995,0.16800000000000004,-0.0670016453014215,0.19726553063049856
29,3,71,NWU,3,3,1500,500,0.998,0.998015873015873,0.9980506822612085,0.9980274580178287,0.774,0.8038330716902146,0.7779755628444217,0.7687914411962925,0.7,0.7045927606860841,0.7008277142920137,0.7005199177628255,0.49524859003014216,0.17759045172421084,4.824,2.072,0.05480830621416396,0.11111111111111115,,,,-0.29800000000000004,-0.07400000000000007,-0.29750754025500314,-0.06827152343346699
30,3,72,NWU,3,3,1500,500,0.998,0.9980276134122287,0.9980039920159681,0.9980098793155173,0.808,0.8378539183453008,0.8081646231346831,0.7997820434630177,0.786,0.7954315323742076,0.786238129801004,0.7865927915066226,0.47371014392455085,0.17229598221362066,4.912,2.144,0.05466293014213942,0.11111111111111113,,,,-0.21199999999999997,-0.02200000000000002,-0.21141708780889468,-0.013189251956395087
31,4,73,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.758,0.7678656220322887,0.759921706594028,0.7558043628920479,0.686,0.6911114875037639,0.6872084954063585,0.683307729182233,0.4843331375862497,0.17236343156472098,4.88,2.152,0.05483186967035764,0.11111111111111113,,,,-0.31399999999999995,-0.07199999999999995,-0.31669227081776696,-0.07249663370981485
32,4,74,NWU,3,3,1500,500,0.998,0.998095238095238,0.9979797979797981,0.9980317189364315,0.798,0.8102255922757875,0.7965231669879346,0.7962797588165841,0.868,0.8751347117794485,0.8671677148438768,0.8666437015265269,0.5354920620814055,0.19829216012851184,4.64,1.97,0.05475837742504409,0.11111111111111115,,,,-0.13,0.06999999999999995,-0.13138801740990458,0.07036394270994284
33,4,75,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.842,0.8697265365724146,0.8268811011856069,0.8266779619978516,0.996,0.9961943793911008,0.9959562841530055,0.996068654297822,0.7275041522892237,0.2605696725684347,3.048,1.522,0.054657407407407405,0.11111111111111115,,,,-0.0040000000000000036,0.15400000000000003,-0.003931345702178013,0.1693906922999704
34,4,76,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.756,0.7916956024607701,0.7369417456868987,0.7193096737000584,0.872,0.8820138866357355,0.8668904682022411,0.8684220442406301,0.5415745315649801,0.19721549934913377,4.832,2.08,0.05475058635531844,0.11111111111111113,,,,-0.128,0.11599999999999999,-0.13157795575936992,0.1491123705405717
35,4,77,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.726,0.7530008305870375,0.713776332937904,0.686556153579483,0.972,0.9726457970892982,0.9711182368513224,0.9716984450641052,0.7146945719835829,0.23267658354211684,2.768,1.468,0.05446187363834422,0.11111111111111113,,,,-0.028000000000000025,0.246,-0.028301554935894813,0.2851422914846222
36,4,78,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.824,0.834490652821893,0.8248340980376909,0.8230715104011231,0.712,0.7120579225842384,0.7122961868470851,0.711500087557534,0.4879594489424248,0.1732553280392012,4.824,2.166,0.054578438968955006,0.11111111111111115,,,,-0.28800000000000003,-0.11199999999999999,-0.288499912442466,-0.11157142284358912
37,4,79,NWU,3,3,1500,500,0.996,0.9956989247311828,0.9959595959595959,0.9958029775102947,0.812,0.8275077888148429,0.8004516180986769,0.7984982550939997,0.892,0.8985930735930735,0.8887369710899122,0.8913840817946633,0.5332376614502617,0.20164486258083408,4.616,1.994,0.05446957281765541,0.11111111111111115,,,,-0.10399999999999998,0.07999999999999996,-0.10441889571563134,0.09288582670066359
38,4,80,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.75,0.7889097744360902,0.7339366089415565,0.7162371174472622,0.412,0.41293385831257295,0.40989322703156067,0.4111795150994824,0.48200325558645746,0.15576594253786225,4.544,1.894,0.05445982777359753,0.11111111111111115,,,,-0.5880000000000001,-0.338,-0.5888204849005176,-0.30505760234777973
39,4,81,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.854,0.8635586635586635,0.8536541375081163,0.8517281229262018,1.0,1.0,1.0,1.0,0.7673605837467169,0.26868764858875877,2.672,1.418,0.05466962017839211,0.11111111111111115,,,,0.0,0.14600000000000002,0.0,0.1482718770737982
40,4,82,NWU,3,3,1500,500,1.0,1.0,1.0,1.0,0.702,0.7155316186770553,0.6953382495499238,0.6878957411744296,0.786,0.7960675498269483,0.7847986774684946,0.7864267722831587,0.5254997162154588,0.20993644697133365,4.872,2.146,0.05519069482705846,0.11111111111111115,,,,-0.21399999999999997,0.08400000000000007,-0.21357322771684129,0.09853103110872907
