run_number,batch,seed,tier,n_classes,n_features,n_train,n_test,rf_accuracy,rf_precision,rf_recall,rf_f1,gnn_accuracy,gnn_precision,gnn_recall,gnn_f1,fulp_accuracy,fulp_precision,fulp_recall,fulp_f1,avg_confidence,avg_contradiction,avg_symposium_size,avg_contradiction_passes,avg_exploration_rate,avg_role_diversity,role_entropy,dirichlet_concentration,belief_divergence,acc_vs_rf,acc_vs_gnn,f1_vs_rf,f1_vs_gnn
16,2,58,XL,5,11,1200,400,0.5425,0.5302522994535379,0.5435527940722445,0.5338556065664386,0.53,0.5132178949732581,0.5304993825254709,0.5142172380458916,0.48,0.4633713545054562,0.4808173819079963,0.46504949157487163,0.410447080285368,0.13910659838800268,4.59,1.9775,0.05525258777812166,0.11111111111111115,,,,-0.0625,-0.050000000000000044,-0.06880611499156697,-0.04916774647101996
17,2,59,M,3,5,300,100,0.87,0.7970328282828283,0.6931731104144897,0.6973886328725039,0.87,0.5681395681395681,0.6555555555555556,0.6072924365607292,0.81,0.6328282828282829,0.6172762103796586,0.6119271814187068,0.8126670182897796,0.17110522676053994,2.4,1.36,0.05483245149911816,0.1111111111111111,,,,-0.05999999999999994,-0.05999999999999994,-0.08546145145379702,0.004634744857977657
18,2,60,XL,5,11,1200,400,0.5675,0.5633325292014741,0.5667819244810756,0.564037669295531,0.48,0.45900398540376297,0.4788270757667331,0.4642120307829134,0.4725,0.45536591723688497,0.4708817164869221,0.45829938367452794,0.3960723944408386,0.1389604226319496,4.65,1.9875,0.055008455944529015,0.11111111111111113,,,,-0.09500000000000003,-0.007500000000000007,-0.10573828562100307,-0.00591264710838546
19,2,61,M,3,5,300,100,0.9,0.9393939393939394,0.6969696969696969,0.6903001792114695,0.85,0.5642361111111112,0.6386725991842789,0.5990539107739988,0.81,0.7111888111888112,0.6252233120976168,0.6197949239107775,0.8506690190833777,0.17258523062255654,2.08,1.28,0.0535116598079561,0.1111111111111111,,,,-0.08999999999999997,-0.039999999999999925,-0.07050525530069196,0.020741013136778674
20,2,62,M,3,5,300,100,0.85,0.810404807084124,0.7089490968801314,0.706989247311828,0.78,0.5115740740740741,0.6083743842364532,0.5549863387978142,0.75,0.6339285714285715,0.6083743842364532,0.6131573344688098,0.7994487263088048,0.2029487830056286,2.48,1.38,0.05257257257257258,0.1111111111111111,,,,-0.09999999999999998,-0.030000000000000027,-0.09383191284301817,0.058170995670995596
21,3,63,M,3,5,300,100,0.75,0.5743610438525694,0.5952316689158794,0.5776164549304296,0.84,0.704107505070994,0.6979757085020243,0.694151138716356,0.75,0.6210084033613446,0.6242914979757085,0.6201423624470951,0.8197077481853928,0.17095239096192757,2.48,1.4,0.05361027694361028,0.1111111111111111,,,,0.0,-0.08999999999999997,0.04252590751666552,-0.07400877626926095
22,3,64,M,3,5,300,100,0.76,0.5696684587813621,0.590311986863711,0.5722222222222223,0.79,0.5106227106227106,0.6018062397372742,0.5520712349980642,0.7,0.5591575091575091,0.543103448275862,0.5422957801006582,0.7659630349540456,0.25620043688416777,3.08,1.54,0.05552706552706553,0.11111111111111109,,,,-0.06000000000000005,-0.09000000000000008,-0.029926442121564145,-0.009775454897406055
23,3,65,L,4,6,600,200,0.67,0.664312315835425,0.6699999999999999,0.6660072771628829,0.66,0.6508887429940061,0.6599999999999999,0.6515101609448162,0.61,0.6146976380847349,0.61,0.6069110627692827,0.6007478634646701,0.19474468711653267,3.52,1.68,0.05485792670977856,0.11111111111111112,,,,-0.06000000000000005,-0.050000000000000044,-0.05909621439360013,-0.044599098175533425
24,3,66,S,2,3,150,50,0.9,0.8148148148148148,1.0,0.8979591836734694,0.86,0.7777777777777778,0.9545454545454546,0.8571428571428571,0.88,0.7857142857142857,1.0,0.88,0.912389839529545,0.16642818476213356,1.96,1.24,0.0497119341563786,0.11111111111111112,,,,-0.020000000000000018,0.020000000000000018,-0.01795918367346938,0.02285714285714291
25,3,67,M,3,5,300,100,0.79,0.7070625281151597,0.6941358024691358,0.6988919954437196,0.79,0.5238095238095238,0.6209876543209877,0.5682396035337213,0.75,0.6600029949086553,0.6597222222222222,0.6558317072335764,0.8102268911245729,0.19422381256851845,2.56,1.44,0.05518201962646407,0.11111111111111108,,,,-0.040000000000000036,-0.040000000000000036,-0.04306028821014318,0.08759210369985515
26,3,68,M,3,5,300,100,0.8,0.6327561327561327,0.6323232323232323,0.6226076257424219,0.83,0.5487179487179487,0.6444444444444445,0.5927350427350427,0.75,0.5776118637110016,0.5868686868686869,0.5759043216670335,0.8199146739596463,0.1787079930444145,2.4,1.36,0.054479717813051144,0.1111111111111111,,,,-0.050000000000000044,-0.07999999999999996,-0.04670330407538836,-0.016830721068009202
27,3,69,L,4,6,600,200,0.69,0.68834726443769,0.69,0.6881910134215133,0.72,0.7173594363266658,0.72,0.7164409427448623,0.595,0.5832556332556332,0.595,0.5825054964777673,0.6215026228679227,0.20109798676070947,3.34,1.61,0.05459269811121663,0.11111111111111113,,,,-0.09499999999999997,-0.125,-0.10568551694374606,-0.13393544626709497
